person_id,first_name,middle_name,last_name,birthDate,country,deathDate,birthdate,deathdate,gender
68,David,,Letterman,,,,,,
69,Geena,,Davis,,,,1956-01-21,,
70,Jim,,Moret,,,,1949-02-06,,
71,Tyra,,Banks,,,,,,
72,Chris,,Connelly,,,,1969-11-30,,
73,Meredith,,Vieira,,,,,,
74,[2],,,,,,,,
75,Steve,,Martin,,,,,,
76,Julie,,Moran,,,,,,
77,Leeza,,Gibbons,,,,,,
78,Ananda,,Lewis,,,,,,
79,Jann,,Carl,,,,,,
80,Shaun,,Robinson,,,,,,
81,Billy,,Bush,,,,,,
82,Maria,,Menounos,,,,,,
83,Chris,,Rock,,,,,,
84,Jon,,Stewart,,,,,,
85,Vanessa,,Minnillo,,,,,,
86,Ellen,,DeGeneres,,,,,,
87,Lisa,,Ling,,,,,,
88,André,Leon,Talley,,,,,,
89,[3],,,,,,,,
90,[4],,,,,,,,
91,Samantha,,Harris,,,,,,
92,Regis,,Philbin,,,,,,
93,Hugh,,Jackman,,,,,,
94,Tim,,Gunn,,,,,,
95,Robin,,Roberts,,,,,,
96,Alec,,Baldwin,,,,,,
97,Kathy,,Ireland,,,,,,
98,Sherri,,Shepherd,,,,,,
99,James,,Franco,,,,,,
100,Anne,,Hathaway,,,,1982-11-12,,
101,Nina,,García,,,,,,
102,Louise,,Roe,,,,,,
103,Seth,,MacFarlane,,,,1973-10-26,,
104,Kristin,,Chenoweth,,,,,,
105,Kelly,,Rowland,,,,,,
106,Lara,,Spencer,,,,,,
107,Tyson,,Beckford,,,,,,
108,Neil,Patrick,Harris,,,,,,
109,Michael,,Strahan,,,,,,
110,Joe,,Zee,,,,,,
111,Amy,,Robach,,,,,,
112,Jimmy,,Kimmel,,,,,,
113,Sara,,Haines,,,,,,
114,Wendi,,McLendon-Covey,,,,,,
115,Ashley,,Graham,,,,,,
116,Billy,,Porter,,,,,,
117,Ryan,,Seacrest,,,,,,
118,Elaine,,Welteroth,,,,,,
119,Lily,,Aldridge,,,,,,
120,Tamron,,Hall,,,,,,
121,Elvis,,Mitchell,,,,,,
122,Ariana,,DeBose,,,,1991-01-25,,
123,Lil,Rel,Howery,,,,,,
124,Regina,,Hall,,,,,,
125,Amy,,Schumer,,,,,,
126,Wanda,,Sykes,,,,,,
127,Vanessa,,Hudgens,,,,,,
128,Terrence,,J,,,,,,
129,Brandon,,Maxwell,,,,,,
130,Sofia,,Carson,,,,,,
131,Lilly,,Singh,,,,,,
132,Julianne,,Hough,,,,,,
133,Conan,,O'Brien,,,,,,
134,Jesse,,Palmer,,,,,,
135,George,,Hill,,,,1921-12-20,"December 27, 2002",
136,Irving,,Thalberg,,,,1899-05-30,"September 14, 1936",
137,Frances,,Marion,,,,,,
138,Joe,,Farnham,,,,,,
139,Martin,,Flavin,,,,,,
140,Blanche,,Sewell,,,,,,
141,Harold,,Wenstrom,,,,,,
142,no,,credit,,,,,,
143,Alfred,E.,Green,,,,,,
144,Jack,L.,Warner,,,,1892-08-02,"September 9, 1978",
145,Darryl,F.,Zanuck,,,,1902-09-05,"December 22, 1979",
146,Julien,,Josephson,,,,,,
147,Owen,,Marks,,,,1899-08-08,1960-09-19,
148,Lee,,Garmes,,,,1898-05-27,"August 31, 1978",Male
149,Warner,,Bros.,,,,1923-04-04,,
150,Robert,Z.,Leonard,,,,1889-10-07,"August 27, 1968",
151,Nick,,Grinde,,,,,,
152,Zelda,,Sears,,,,,,
153,John,,Meehan,,,,1890-05-08,"November 12, 1954",
154,Hugh,,Wynn,,,,,,
155,Norbert,,Brodine,,,,1896-12-16,"February 28, 1970",Male
156,Jack,,Yellen,,,,,,
157,Milton,,Ager,,,,,,
158,Ernst,,Lubitsch,,,,1892-01-29,"November 30, 1947",
159,Guy,,Bolton,,,,,,
160,Merrill,G.,White,,,,"December 13, 1901",1959-03-22,
161,Victor,,Milner,,,,1893-12-15,"October 29, 1972",Male
162,W.,Franke,Harling,,,,,,
163,John,,Leipold,,,,,,
164,Max,,Terr,,,,1889-11-16,"August 2, 1951",Male
165,Victor,,Schertzinger,,,,1888-04-08,"October 26, 1941",Male
166,Clifford,,Grey,,,,,,
167,Wesley,,Ruggles,,,,,,
168,William,,LeBaron,,,,1883-02-16,"February 9, 1958",
169,Howard,,Estabrook,,,,1884-07-11,"July 16, 1978",
170,Louis,,Sarecky,,,,,,
171,William,,Hamilton,,,,,,
172,Edward,,Cronjager,,,,1904-03-21,"June 15, 1960",
173,Max,,Steiner,,,,1888-05-10,28 December 1971,
174,RKO,,Radio,,,,1929-01-25,,
175,Frank,,Lloyd,,,,2 February 1886,10 August 1960,
176,Tom,,Barry,,,,,,
177,Bradley,,King,,,,,,
178,John,F.,Seitz,,,,1892-06-23,"February 27, 1979",
179,Richard,FallCarli,Elinor,,,,,,
180,Lewis,,Milestone,,,,1895-09-30,"September 25, 1980",
181,Howard,,Hughes,,,,1905-12-24,"April 5, 1976",
182,Bartlett,,Cormack,,,,,,
183,Charles,,Lederer,,,,,,
184,W.,Duncan,Mansfield,,,,,,
185,Glen,,MacWilliams,,,,,,
186,Norman,,Taurog,,,,1899-02-23,"April 7, 1981",
187,Adolph,,Zukor,,,,1873-01-07,"June 10, 1976",
188,Jesse,L.,Lasky,,,,1880-09-13,"January 13, 1958",
189,B.,P.,Schulberg,,,,,,
190,Norman,,McLeod,,,,,,
191,Don,,Marquis,,,,,,
192,Sam,,Mintz,,,,1897-07-12,"September 13, 1957",Male
193,Karl,,Struss,,,,1886-11-30,"December 15, 1981",Male
194,B.P.,,Schulberg,,,,"SchulbergJanuary 19, 1892","February 25, 1957",
195,W.S.,Van,Dyke,,,,,,
196,Dale,Van,Every,,,,,,
197,John,T.,Neville,,,,,,
198,Cyril,,Hume,,,,,,
199,Ben,,Lewis,,,,,,
200,Clyde,De,Vinna,,,,,,
201,James,,McKay,,,,,,
202,John,,Ford,,,,1894-02-01,"August 31, 1973",
203,Samuel,,Goldwyn,,,,"GelbfiszAugust 27, 1882","January 31, 1974",Male
204,Sidney,,Howard,,,,"HowardJune 26, 1891","August 23, 1939",
205,Hugh,,Bennett,,,,,,
206,Ray,,June,,,,1895-03-27,"May 26, 1958",
207,Alfred,,Newman,,,,1900-03-17,"February 17, 1970",Male
208,Frank,,Borzage,,,,1894-04-23,"June 19, 1962",Male
209,Edwin,J.,Burke,,,,,,
210,Margaret,,Clancey,,,,,,
211,Chester,A.,Lyons,,,,,,
212,King,,Vidor,,,,1894-02-08,"November 1, 1982",
213,Harry,,Rapf,,,,,,
214,Leonard,,Praskins,,,,,,
215,Gordon,,Avil,,,,,,
216,Mervyn,,LeRoy,,,,,,
217,Hal,B.,Wallis,,,,1898-10-19,"October 5, 1986",
218,Robert,,Lord,,,,,,
219,Frank,,Ware,,,,,,
220,Sol,,Polito,,,,1892-11-12,"May 23, 1960",Male
221,First,,National,,,,,,
222,George,,Cukor,,,,1899-07-07,"January 24, 1983",Male
223,Samson,,Raphaelson,,,,,,
224,William,,Shea,,,,,,
225,Rudolph,G.,Kopp,,,,,,
226,Josef,von,Sternberg,,,,,,
227,Jules,,Furthman,,,,1888-03-05,"September 22, 1966",
228,Frank,,Sullivan,,,,,,
229,Ernest,,Vajda,,,,,,
230,George,J.,Folsey,,,,1898-07-02,"November 1, 1988",Male
231,Adolph,,Deutsch,,,,1897-10-20,1 January 1980,
232,Paramount,,Publix,,,,1912-05-08,,
233,Winfield,R.,Sheehan,,,,"SheehanSeptember 24, 1883","July 25, 1945",Male
234,Reginald,,Berkeley,,,,,,
235,Sonya,,Levien,,,,1888-12-25,19 March 1960,
236,Ernest,,Palmer,,,,1885-12-06,"February 22, 1978",
237,Arthur,,Lange,,,,,,
238,J.,S.,Zamecnik,,,,,,
239,Winfield,,Sheehan,,,,,,
240,Lloyd,,Bacon,,,,,,
241,Rian,,James,,,,,,
242,Thomas,,Pratt,,,,,,
243,Harry,,Warren,,,,1893-12-24,"September 22, 1981",Male
244,Al,,Dubin,,,,1891-06-10,"February 11, 1945",Male
245,Edward,A. Blatt Benjamin,Glazer,,,,,,
246,Benjamin,,Glazer,,,,,,
247,Oliver,H.P.,Garrett,,,,,,
248,Otho,,Lovering,,,,1892-12-01,"October 25, 1968",
249,George,Nicholls,Jr.,,,,1955-02-14,,
250,Charles,,Lang,,,,1902-03-27,"April 3, 1998",
251,Bernhard,,Kaun,,,,,,
252,Ralph,,Rainger,,,,1901-10-07,"October 23, 1942",
253,Paramount,,,,,,,,
254,Howard,J.,Green,,,,,,
255,Brown,,Holmes,,,,,,
256,William,,Holmes,,,,,,
257,Harry,,Cohn,,,,1891-07-23,"February 27, 1958",
258,Robert,,Riskin,,,,1897-03-30,"September 20, 1955",Male
259,Gene,,Havlick,,,,1894-03-16,"May 11, 1959",
260,Joseph,,Walker,,,,1892-08-22,"August 1, 1985",
261,Howard,,Jackson,,,,,,
262,Columbia,,,,,,1918-06-19,,
263,Merian,C.,Cooper,,,,1893-10-24,"April 21, 1973",
264,David,,Hempstead,,,,,,
265,Jack,,Kitchin,,,,,,
266,Henry,W.,Gerrard,,,,1911-05-26,"September 6, 1992",
267,Alexander,,Korda,,,,,,
268,Alex,,,,,,,,
269,er,Korda Ludovico,Toeplitz,,,,,,
270,Lajos,,Bíró,,,,,,
271,Arthur,,Wimperis,,,,,,
272,Stephen,,Harrison,,,,,,
273,Georges,,Périnal,,,,,23 April 1965,Male
274,Kurt,,Schröder,,,,,,
275,Lowell,,Sherman,,,,,,
276,John,,Bright,,,,,,
277,Alexander,,Hall,,,,,,
278,Sidney,,Franklin,,,,1893-03-21,"May 18, 1972",
279,Albert,,Lewin,,,,,,
280,Donald,Ogden,Stewart,,,,,,
281,Margaret,,Booth,,,,1898-01-16,"October 28, 2002",
282,William,AxtArthur A.,Penn,,,,,,
283,Metro-Goldwyn-Mayer,,,,,,1924-04-17,,
284,Henry,,King,,,,,,
285,Paul,,Green,,,,1894-03-17,"May 4, 1981",Male
286,Robert,,Bischoff,,,,,,
287,Hal,,Mohr,,,,1894-08-02,"May 10, 1974",Male
288,Louis,De,Francesco,,,,,,
289,Louis,,Silvers,,,,1889-09-06,"March 26, 1954",
290,Claudine,,West,,,,16 January 1890,11 April 1943,Female
291,William,H.,Daniels,,,,1901-12-01,"June 14, 1970",Male
292,Herbert,,Stothart,,,,1885-09-11,"February 1, 1949",Male
293,Cecil,B.,DeMille,,,,1881-08-12,"January 21, 1959",
294,Waldemar,,Young,,,,1878-07-01,"August 30, 1938",
295,Anne,,Bauchens,,,,1882-02-02,1967-05-07,Female
296,Delmer,,Daves,,,,,,
297,George,,Barnes,,,,1892-10-16,"May 30, 1953",
298,Allie,,Wrubel,,,,1905-01-15,"December 13, 1973",
299,Mort,,Dixon,,,,,,
300,First,,National,,,,,,
301,Mark,,Sandrich,,,,,,
302,Pandro,S.,Berman,,,,1905-03-28,"July 13, 1996",
303,George,Marion,Jr.,,,,,,
304,Dorothy,,Yost,,,,,,
305,David,,Abel,,,,,,
306,Louis,,Edelman,,,,,,
307,Earl,,Baldwin,,,,,,
308,Ben,,Markson,,,,,,
309,George,,Amy,,,,"AmyOctober 15, 1903","December 18, 1986",
310,Arthur,,Edeson,,,,1891-10-05,"February 14, 1970",Male
311,Charles,A.,Zimmerman,,,,,,
312,Alfred,L.,Werker,,,,,,
313,Maude,T.,Howell,,,,,,
314,William,,Goetz,,,,1903-03-24,"August 15, 1969",
315,Raymond,,Griffith,,,,,,
316,Nunnally,,Johnson,,,,1897-12-05,"March 25, 1977",
317,Barbara,,McLean,,,,1903-11-16,"March 28, 1996",
318,J.,Peverell,Marley,,,,1899-08-14,"February 2, 1964",
319,20th,,Century,,,,1933-06-26,,
320,John,M.,Stahl,,,,,,
321,Carl,Laemmle,Jr.,,,,,,
322,William,J.,Hurlbut,,,,,,
323,Philip,Cahn Maurice,Wright,,,,,,
324,Merritt,B.,Gerstad,,,,,,
325,Heinz,,Roemheld,,,,1901-05-01,"February 11, 1985",
326,Universal,,,,,,,,
327,Charles,,Beahan,,,,,,
328,Dorothy,,Speare,,,,,,
329,James,,Gow,,,,,,
330,S.K.,,Lauren,,,,,,
331,Edmund,H.,North,,,,,,
332,Gene,,Milford,,,,1902-01-19,"December 23, 1991",Male
333,W.,S. Van,Dyke,,,,,,
334,Hunt,,Stromberg,,,,1894-07-12,"August 23, 1968",
335,Albert,,Hackett,,,,1900-02-16,"March 16, 1995",Male
336,Frances,,Goodrich,,,,1890-12-21,"January 29, 1984",Female
337,Robert,J.,Kern,,,,"March 29, 1885","May 30, 1972",Male
338,James,Wong,Howe,,,,1899-08-28,"July 12, 1976",
339,William,,Axt,,,,,,
340,Jack,,Conway,,,,,,
341,Howard,,Hawks,,,,,,
342,William,,Wellman,,,,,,
343,David,O.,Selznick,,,,1902-05-10,"June 22, 1965",Male
344,Ben,,Hecht,,,,1894-02-28,"April 18, 1964",
345,James,Kevin,McGuinness,,,,,,
346,Charles,G.,Clarke,,,,1899-03-10,1 July 1983,
347,Irving,,Cummings,,,,,,
348,Jesse,L. Lasky,Jr.,,,,,,
349,Arthur,C.,Miller,,,,1895-07-08,"July 13, 1970",Male
350,Jesse,L.,Lasky,,,,,,
351,Talbot,,Jennings,,,,1894-08-25,"May 30, 1985",Male
352,Carey,,Wilson,,,,1889-05-19,"February 1, 1962",
353,John,,Farrow,,,,,,
354,George,,Stevens,,,,1904-12-18,"March 8, 1975",
355,Mortimer,,Offner,,,,,,
356,Jane,,Murfin,,,,,,
357,Jane,,Loring,,,,,,
358,Robert,De,Grasse,,,,1900-02-09,"January 28, 1971",Male
359,Roy,,Webb,,,,,,
360,Roy,Del,Ruth,,,,,,
361,John,W. Considine,Jr.,,,,1908-05-22,"August 22, 1990",Male
362,Moss,,Hart,,,,1904-10-24,"December 20, 1961",
363,Sid,,Silvers,,,,,,
364,Charles,,Rosher,,,,1885-11-17,15 January 1974,
365,Nacio,Herb,Brown,,,,,,
366,Michael,,Curtiz,,,,1886-12-24,"April 10, 1962",
367,Harry,Joe,Brown,,,,,,
368,Gordon,,Hollingshead,,,,,,
369,Casey,,Robinson,,,,,,
370,Ernest,,Haller,,,,1896-05-31,"October 21, 1970",
371,Erich,Wolfgang,Korngold,,,,1897-05-29,"November 29, 1957",
372,Cosmopolitan,,,,,,,,
373,Hugh,,Walpole,,,,,,
374,Oliver,T.,Marsh,,,,"January 30, 1892","May 5, 1941",Male
375,Dudley,,Nichols,,,,1895-04-06,"January 4, 1960",
376,George,,Hively,,,,"September 6, 1889","March 2, 1950",
377,Joseph,H.,August,,,,1890-04-26,"September 25, 1947",
378,Henry,,Hathaway,,,,,,
379,Louis,D.,Lighton,,,,,,
380,William,Slavens,McNutt,,,,1885-09-12,"January 25, 1938",
381,Grover,,Jones,,,,1893-11-15,"September 24, 1940",
382,John,L.,Balderston,,,,,,
383,Achmed,,Abdullah,,,,12 May 1881,12 May 1945,
384,Laurence,,Stallings,,,,,,
385,Ellsworth,,Hoagland,,,,"August 15, 1903","September 4, 1972",Male
386,Max,,Reinhardt,,,,,,
387,William,,Dieterle,,,,,,
388,Henry,,Blanke,,,,1901-12-30,"May 28, 1981",
389,Charles,,Kenyon,,,,,,
390,Mary,C. McCall,Jr.,,,,,,
391,Ralph,,Dawson,,,,1897-04-18,"November 15, 1962",Male
392,Felix,,Mendelssohn,,,,,,
393,Richard,,Boleslawski,,,,,,
394,W.,P.,Lipscomb,,,,,,
395,Gregg,,Toland,,,,1904-05-29,"September 28, 1948",Male
396,John,Lee,Mahin,,,,,,
397,Victor,,Herbert,,,,,,
398,Leo,,McCarey,,,,1898-10-03,"July 5, 1969",
399,Arthur,Hornblow,Jr.,,,,1893-03-15,"July 17, 1976",Male
400,Walter,,DeLeon,,,,,,
401,Harlan,,Thompson,,,,,,
402,Edward,,Dmytryk,,,,,,
403,Alfred,,Gilks,,,,1891-12-29,"September 6, 1970",Male
404,Allan,,Scott,,,,"May 23, 1906","April 13, 1995",
405,Dwight,,Taylor,,,,,,
406,Irving,,Berlin,,,,1888-05-11,"September 22, 1989",
407,William,Anthony,McGuire,,,,,,
408,William,S.,Gray,,,,,,
409,Walter,,Donaldson,,,,1893-02-15,"July 15, 1947",
410,Harold,,Adamson,,,,1906-12-10,"August 17, 1980",
411,Sheridan,GibneyMilton,Krims,,,,,,
412,Tony,,Gaudio,,,,1883-11-20,"August 10, 1951",Male
413,William,,Wyler,,,,1902-07-01,"July 27, 1981",
414,Daniel,,Mandell,,,,1895-08-13,"June 8, 1987",Male
415,Rudolph,,Maté,,,,1898-01-21,27 October 1964,Male
416,Lawrence,,Weingarten,,,,1897-12-30,"February 5, 1975",
417,Maurine,Dallas,Watkins,,,,,,
418,George,,Oppenheimer,,,,,,
419,Frederick,Y.,Smith,,,,,,
420,Dr.,William,Axt,,,,,,
421,a.s.c.,,,,,,,,
422,John,,Emerson,,,,,,
423,Bernard,H.,Hyman,,,,,,
424,Robert,E.,Hopkins,,,,,,
425,Anita,,Loos,,,,,,
426,Tom,,Held,,,,1889-08-31,"March 13, 1962",Male
427,Walter,,Jurmann,,,,,,
428,Bronisław,,Kaper,,,,1902-02-05,"April 26, 1983",Male
429,Edward,,Ward,,,,1900-04-03,"September 26, 1971",
430,Pierre,,Collings,,,,,,
431,Sheridan,,Gibney,,,,,,
432,Leo,F.,Forbstein,,,,1892-10-16,"March 16, 1948",
433,S.,N.,Behrman,,,,,,
434,Conrad,A.,Nervig,,,,1889-06-24,1980-11-27,
435,Henry,,Koster,,,,,,
436,Joe,,Pasternak,,,,,,
437,Adele,,Comandini,,,,1988-05-05,,
438,Ted,J.,Kent,,,,1901-10-06,"June 17, 1986",Male
439,Joseph,A.,Valentine,,,,1900-07-24,"May 18, 1949",
440,Charles,,Previn,,,,1888-01-11,"September 22, 1973",
441,Heinz,,Herald,,,,,,
442,Geza,,Herczeg,,,,,,
443,Norman,Reilly,Raine,,,,,,
444,Warren,,Low,,,,1905-08-12,"July 27, 1989",Male
445,Viña,,Delmar,,,,"CroterJanuary 29, 1903","January 19, 1990",
446,Al,,Clark,,,,,,
447,Victor,,Fleming,,,,1889-02-23,"January 6, 1949",
448,Marc,,Connelly,,,,1890-12-13,"December 21, 1980",
449,Elmo,,Veron,,,,1903-09-17,"November 7, 1990",Male
450,Harold,,Rosson,,,,1895-04-06,"September 6, 1988",Male
451,Franz,,Waxman,,,,1906-12-24,"February 24, 1967",
452,Lillian,,Hellman,,,,1905-06-20,"June 30, 1984",Female
453,Gustav,,Machatý,,,,,,
454,Tess,,Slesinger,,,,1905-07-16,"February 21, 1945",
455,Basil,,Wrangell,,,,"WrangellJune 19, 1906","April 26, 1977",
456,Karl,,Freund,,,,1890-01-16,"May 3, 1969",
457,A.S.C.,,,,,,,,
458,Kenneth,,Macgowan,,,,,,
459,Niven,,Busch,,,,,,
460,Sidney,,Clare,,,,,,
461,Lew,,Pollack,,,,"July 16, 1895","January 18, 1946",
462,20th,,Century-Fox,,,,1935-05-31,,
463,Elmer,,Dyer,,,,"August 24, 1892","February 8, 1970",
464,Dimitri,,Tiomkin,,,,1894-05-10,"November 11, 1979",
465,Bruce,,Manning,,,,,,
466,Bernard,W.,Burton,,,,1898-12-24,"February 26, 1991",Male
467,Leopold,,Stokowski,,,,,,
468,Gregory,La,Cava,,,,,,
469,Morrie,,Ryskind,,,,1895-10-20,"August 24, 1985",
470,Anthony,,Veiller,,,,1903-06-23,"June 27, 1965",Male
471,William,A.,Wellman,,,,,,
472,Dorothy,,Parker,,,,1893-08-22,"June 7, 1967",
473,Alan,,Campbell,,,,1904-02-21,"June 14, 1963",
474,Robert,,Carson,,,,"October 6, 1909","January 19, 1983",Male
475,James,E.,Newcom,,,,1905-08-29,"October 6, 1990",Male
476,W.,Howard,Greene,,,,,,
477,William,,Keighley,,,,,,
478,Seton,I.,Miller,,,,1902-05-03,"March 29, 1974",Male
479,Warner,Bros.-First,National,,,,,,
480,Richard,,Sherman,,,,,,
481,Dore,,Schary,,,,1905-08-31,"July 7, 1980",
482,Sidney,,Wagner,,,,1901-01-13,"July 7, 1947",Male
483,Victor,,Saville,,,,,,
484,Ian,,Dalrymple,,,,,,
485,Frank,,Wead,,,,,,
486,Elizabeth,,Hill,,,,,,
487,Charles,,Frend,,,,,,
488,Harry,,Stradling,,,,1901-09-01,"February 14, 1970",Male
489,Louis,,Levy,,,,,,
490,Charles,,Williams,,,,,,
491,Thyra,Samter,Winslow,,,,,,
492,Jean,,Renoir,,,,,,
493,Albert,Pinkovitch Frank,Rollmer,,,,,,
494,Charles,,Spaak,,,,,,
495,Marguerite,,Renoir,,,,,,
496,Christian,,Matras,,,,,,
497,Joseph,,Kosma,,,,,,
498,Réalisation,d'art,Cinématographique,,,,,,
499,Clements,,Ripley,,,,,,
500,Anthony,,Asquith,,,,,,
501,Leslie,,Howard,,,,,,
502,Gabriel,,Pascal,,,,,,
503,George,Bernard,Shaw,,,,,,
504,Cecil,,Lewis,,,,,,
505,David,,Lean,,,,1908-03-25,16 April 1991,
506,Arthur,,Honegger,,,,,,
507,Hal,C.,Kern,,,,1894-07-14,"February 24, 1985",Male
508,Edmund,,Goulding,,,,,,
509,David,,Lewis,,,,,,
510,Sam,,Wood,,,,,,
511,R.,C.,Sherriff,,,,1896-06-06,13 November 1975,
512,Eric,,Maschwitz,,,,,,
513,Freddie,,Young,,,,1902-10-09,1 December 1998,
514,Richard,,Addinsell,,,,,,
515,Frank,,Capra,,,,,,
516,Sidney,,Buchman,,,,1902-03-27,"August 23, 1975",
517,Myles,,Connolly,,,,1897-10-07,"July 15, 1964",
518,Charles,,Brackett,,,,1892-11-26,"March 9, 1969",
519,Billy,,Wilder,,,,1906-06-22,"March 27, 2002",
520,Walter,,Reisch,,,,1903-05-23,"March 28, 1983",
521,Gene,,Ruggiero,,,,1910-06-20,"February 19, 2002",Male
522,Werner,R.,Heymann,,,,1896-02-14,30 May 1961,
523,Eugene,,Solow,,,,,,
524,Bert,,Jordan,,,,,,
525,Aaron,,Copland,,,,1900-11-14,"December 2, 1990",
526,Hal,,Roach,,,,,,
527,Walter,,Wanger,,,,,,
528,Dorothy,,Spencer,,,,1909-02-03,"May 23, 2002",
529,Bert,,Glennon,,,,,,
530,Richard,,Hageman,,,,1881-07-09,"March 6, 1966",
531,Franke,,Harling,,,,,,
532,Louis,,Gruenberg,,,,1884-08-03,"June 9, 1964",
533,Leo,,Shuken,,,,,,
534,Gerard,,Carbonara,,,,,,
535,Stephen,,Pasternacki,,,,,,
536,Walter,,Wanger,,,,,,
537,Noel,,Langley,,,,,,
538,Florence,,Ryerson,,,,,,
539,Edgar,Allan,Woolf,,,,,,
540,Charles,,MacArthur,,,,1895-11-05,"April 21, 1956",
541,Anatole,,Litvak,,,,1902-05-10,15 December 1974,
542,A,Warner Bros. – First National,Picture,,,,,,
543,An,Anatole Litvak,Production,,,,,,
544,Ernie,,Haller,,,,,,
545,Alfred,,Hitchcock,,,,,,
546,James,,Hilton,,,,,,
547,Robert,,Benchley,,,,,,
548,Robert,L.,Simpson,,,,,,
549,Charlie,,Chaplin,,,,1889-04-16,25 December 1977,
550,Willard,,Nico,,,,,,
551,Roland,,Totheroh,,,,,,
552,Meredith,,Willson,,,,1902-05-18,"June 15, 1984",
553,Dalton,,Trumbo,,,,1905-12-09,"September 10, 1976",
554,Henry,,Berman,,,,1914-01-14,"June 12, 1979",
555,Howard,E.,Koch,,,,"December 12, 1901",1995-08-18,
556,Argosy,,Corporation,,,,1894-02-01,"August 31, 1973",
557,Sherman,,Todd,,,,1904-04-01,"June 10, 1979",Male
558,Argosy,,,,,,,,
559,Wanger,,,,,,1894-07-11,"November 18, 1968",
560,Sol,,Lesser,,,,1890-02-17,"September 19, 1980",
561,Harry,,Chandlee,,,,"December 7, 1882","August 3, 1956",Male
562,Frank,,Craven,,,,,,
563,Sol,,Lesser,,,,,,
564,Joseph,,Ruttenberg,,,,1889-07-04,"May 1, 1983",
565,Philip,,Dunne,,,,1908-02-11,1992-06-03,
566,James,B.,Clark,,,,1908-05-14,"July 19, 2000",
567,George,,Boemler,,,,1902-03-08,"June 11, 1968",Male
568,Orson,,Welles,,,,1915-05-06,"October 10, 1985",
569,Herman,J.,Mankiewicz,,,,1897-11-07,"March 5, 1953",
570,Robert,,Wise,,,,1914-09-10,"September 14, 2005",
571,Bernard,,Herrmann,,,,1911-06-29,"December 24, 1975",Male
572,Mercury,,,,,,,,
573,Everett,,Riskin,,,,,,
574,Viola,,Lawrence,,,,"December 2, 1894","November 20, 1973",Female
575,Friedrich,,Hollaender,,,,,,
576,Mitchell,,Leisen,,,,,,
577,Richard,,Maibaum,,,,,,
578,Doane,,Harrison,,,,1894-09-19,"November 11, 1968",
