person_id,first_name,middle_name,last_name,birthDate,country,deathDate
289,Louis,,Silvers,1889-01-01,United States,1954-01-01
300,First,,National,,,
291,William,H.,Daniels,1901-01-01,United States,1970-01-01
281,Margaret,,Booth,1898-01-01,United States,2002-01-01
269,er,Korda Ludovico,Toeplitz,,,
292,Herbert,,Stothart,1885-01-01,United States,1949-01-01
283,Metro-Goldwyn-Mayer,,Metro-Goldwyn-Mayer,,,
294,Waldemar,,Young,1878-01-01,United States,1938-01-01
297,George,,Barnes,,,
299,Mort,,Dixon,1892-01-01,United States,1956-01-01
303,George,Marion,Jr.,1899-01-01,United States,1968-01-01
305,David,,Abel,,,
282,William,AxtArthur A.,Penn,,,
302,Pandro,S.,Berman,1905-01-01,United States,1996-01-01
288,Louis,De,Francesco,,,
304,Dorothy,,Yost,1899-01-01,United States,1967-01-01
259,Gene,,Havlick,1894-01-01,United States,1959-01-01
262,Columbia,,Columbia,,,
290,Claudine,,West,,United Kingdom,
301,Mark,,Sandrich,1900-01-01,United States,1945-01-01
306,Louis,,Edelman,,,
293,Cecil,B.,DeMille,1881-01-01,United States,1959-01-01
295,Anne,,Bauchens,1882-01-01,United States,1967-01-01
313,Maude,T.,Howell,,United States,1964-01-01
314,William,,Goetz,1903-01-01,United States,1969-01-01
315,Raymond,,Griffith,1895-01-01,United States,1957-01-01
312,Alfred,L.,Werker,,United States,1975-01-01
307,Earl,,Baldwin,,,
279,Albert,,Lewin,1894-01-01,US,1968-01-01
318,J.,Peverell,Marley,1899-01-01,United States,1964-01-01
308,Ben,,Markson,1897-01-01,United States,1971-01-01
322,William,J.,Hurlbut,,,
317,Barbara,,McLean,1903-01-01,United States,1996-01-01
320,John,M.,Stahl,,Azerbaijan,1950-01-01
316,Nunnally,,Johnson,1897-01-01,United States,1977-01-01
321,Carl,Laemmle,Jr.,1908-01-01,United States,1979-01-01
263,Merian,C.,Cooper,1893-01-01,United States,1973-01-01
326,Universal,,Universal,,,
309,George,,Amy,,United States,1986-01-01
329,James,,Gow,,,
325,Heinz,,Roemheld,1901-01-01,United States,1985-01-01
311,Charles,A.,Zimmerman,,United States,1916-01-01
324,Merritt,B.,Gerstad,,,
298,Allie,,Wrubel,1905-01-01,United States,1973-01-01
310,Arthur,,Edeson,1891-01-01,United States,1970-01-01
296,Delmer,,Daves,,United States,1977-01-01
331,Edmund,H.,North,,,
332,Gene,,Milford,1902-01-01,United States,1991-01-01
335,Albert,,Hackett,1900-01-01,United States,1995-01-01
323,Philip,Cahn Maurice,Wright,,,
334,Hunt,,Stromberg,1894-01-01,United States,1968-01-01
350,Jesse,L.,Lasky,1880-01-01,United States,1958-01-01
333,W.,S. Van,Dyke,1889-01-01,United States,1943-01-01
340,Jack,,Conway,,,
336,Frances,,Goodrich,1890-01-01,United States,1984-01-01
337,Robert,J.,Kern,1885-01-01,1885,1972-01-01
339,William,,Axt,,United States,1959-01-01
319,20th,,Century,,,
328,Dorothy,,Speare,,,
330,S.K.,,Lauren,,,
346,Charles,G.,Clarke,1899-01-01,United States,1983-01-01
338,James,Wong,Howe,1899-01-01,China,1976-01-01
343,David,O.,Selznick,1902-01-01,United States,1965-01-01
352,Carey,,Wilson,,,
348,Jesse,L. Lasky,Jr.,1910-01-01,United States,1988-01-01
355,Mortimer,,Offner,,United States,1965-01-01
342,William,,Wellman,1896-01-01,United States,1975-01-01
347,Irving,,Cummings,1888-01-01,United States,1959-01-01
341,Howard,,Hawks,1896-01-01,United States,1977-01-01
357,Jane,,Loring,,United States,1983-01-01
358,Robert,De,Grasse,1900-01-01,United States,1971-01-01
359,Roy,,Webb,,,
345,James,Kevin,McGuinness,1894-01-01,Ireland,1950-01-01
351,Talbot,,Jennings,1894-01-01,United States,1985-01-01
327,Charles,,Beahan,,,
361,John,W. Considine,Jr.,,United States,1961-01-01
360,Roy,Del,Ruth,1893-01-01,United States,1961-01-01
363,Sid,,Silvers,,,
362,Moss,,Hart,1904-01-01,United States,1961-01-01
349,Arthur,C.,Miller,1895-01-01,US,1970-01-01
344,Ben,,Hecht,1894-01-01,United States,1964-01-01
379,Louis,D.,Lighton,1895-01-01,United States,1963-01-01
372,Cosmopolitan,,Cosmopolitan,,,
367,Harry,Joe,Brown,,United States,1972-01-01
369,Casey,,Robinson,1903-01-01,United States,1979-01-01
380,William,Slavens,McNutt,1885-01-01,United States,1938-01-01
376,George,,Hively,,US,1950-01-01
377,Joseph,H.,August,1890-01-01,United States,1947-01-01
368,Gordon,,Hollingshead,1892-01-01,United States,1952-01-01
365,Nacio,Herb,Brown,1896-01-01,United States,1964-01-01
356,Jane,,Murfin,1884-01-01,United States,1955-01-01
370,Ernest,,Haller,1896-01-01,United States,1970-01-01
374,Oliver,T.,Marsh,,MO,
364,Charles,,Rosher,1885-01-01,United Kingdom,1974-01-01
378,Henry,,Hathaway,1898-01-01,United States,1985-01-01
381,Grover,,Jones,1893-01-01,United States,1940-01-01
375,Dudley,,Nichols,1895-01-01,United States,1960-01-01
385,Ellsworth,,Hoagland,,United States,1972-01-01
383,Achmed,,Abdullah,1881-01-01,,1945-01-01
384,Laurence,,Stallings,1894-01-01,United States,1968-01-01
382,John,L.,Balderston,,,
388,Henry,,Blanke,1901-01-01,Germany,1981-01-01
389,Charles,,Kenyon,1880-01-01,United States,1961-01-01
353,John,,Farrow,1904-01-01,United Kingdom,1963-01-01
354,George,,Stevens,1904-01-01,United States,1975-01-01
371,Erich,Wolfgang,Korngold,1897-01-01,Austria,1957-01-01
373,Hugh,,Walpole,,,
393,Richard,,Boleslawski,1889-01-01,Russia,1937-01-01
387,William,,Dieterle,1893-01-01,Germany,1972-01-01
391,Ralph,,Dawson,1897-01-01,United States,1962-01-01
386,Max,,Reinhardt,1873-01-01,Austria,1943-01-01
390,Mary,C. McCall,Jr.,,United States,1986-01-01
394,W.,P.,Lipscomb,,United Kingdom,
396,John,Lee,Mahin,,,
400,Walter,,DeLeon,1884-01-01,United States,1947-01-01
366,Michael,,Curtiz,1886-01-01,Austria,1962-01-01
399,Arthur,Hornblow,Jr.,1893-01-01,US,1976-01-01
395,Gregg,,Toland,1904-01-01,United States,1948-01-01
409,Walter,,Donaldson,,,
401,Harlan,,Thompson,1890-01-01,United States,1966-01-01
402,Edward,,Dmytryk,1908-01-01,Canada,1999-01-01
404,Allan,,Scott,,,
398,Leo,,McCarey,1898-01-01,United States,1969-01-01
410,Harold,,Adamson,1906-01-01,United States,1980-01-01
405,Dwight,,Taylor,,,
407,William,Anthony,McGuire,,United States,1940-01-01
408,William,S.,Gray,,,
397,Victor,,Herbert,,,
392,Felix,,Mendelssohn,1809-01-01,,1847-01-01
403,Alfred,,Gilks,1891-01-01,United States,1970-01-01
414,Daniel,,Mandell,1895-01-01,United States,1987-01-01
415,Rudolph,,Maté,1898-01-01,Austria,1964-01-01
417,Maurine,Dallas,Watkins,1896-01-01,United States,1969-01-01
422,John,,Emerson,,,
424,Robert,E.,Hopkins,,MA,2009-01-01
429,Edward,,Ward,,,
426,Tom,,Held,1889-01-01,Austria,1962-01-01
411,Sheridan,GibneyMilton,Krims,,,
421,a.s.c.,,a.s.c.,,,
416,Lawrence,,Weingarten,1897-01-01,United States,1975-01-01
428,Bronisław,,Kaper,1902-01-01,1902,1983-01-01
427,Walter,,Jurmann,,,
430,Pierre,,Collings,,,
431,Sheridan,,Gibney,,,
432,Leo,F.,Forbstein,1892-01-01,US,1948-01-01
419,Frederick,Y.,Smith,1903-01-01,United States,1991-01-01
423,Bernard,H.,Hyman,,,
413,William,,Wyler,1902-01-01,France,1981-01-01
418,George,,Oppenheimer,,,
433,S.,N.,Behrman,1893-01-01,United States,1973-01-01
437,Adele,,Comandini,1898-01-01,United States,1987-01-01
434,Conrad,A.,Nervig,1889-01-01,United States,1980-01-01
425,Anita,,Loos,1888-01-01,United States,1981-01-01
406,Irving,,Berlin,1888-01-01,Russia,1989-01-01
439,Joseph,A.,Valentine,1900-01-01,United States,1949-01-01
435,Henry,,Koster,1905-01-01,Germany,1988-01-01
436,Joe,,Pasternak,1901-01-01,Austria,1991-01-01
440,Charles,,Previn,1888-01-01,United States,1973-01-01
438,Ted,J.,Kent,1901-01-01,United States,1986-01-01
412,Tony,,Gaudio,1883-01-01,Italy,1951-01-01
444,Warren,,Low,1905-01-01,United States,1989-01-01
446,Al,,Clark,,,
443,Norman,Reilly,Raine,1894-01-01,United States,1971-01-01
420,Dr.,William,Axt,,United States,1959-01-01
449,Elmo,,Veron,1903-01-01,United States,1990-01-01
448,Marc,,Connelly,1890-01-01,US,1980-01-01
445,Viña,,Delmar,,United States,1990-01-01
447,Victor,,Fleming,1889-01-01,United States,1949-01-01
450,Harold,,Rosson,1895-01-01,United States,1988-01-01
455,Basil,,Wrangell,,Italy,1977-01-01
456,Karl,,Freund,1890-01-01,Austria,1969-01-01
461,Lew,,Pollack,,US,1946-01-01
460,Sidney,,Clare,1892-01-01,United States,1972-01-01
457,A.S.C.,,A.S.C.,,,
452,Lillian,,Hellman,1905-01-01,United States,1984-01-01
458,Kenneth,,Macgowan,,,
465,Bruce,,Manning,1902-01-01,United States,1965-01-01
466,Bernard,W.,Burton,1898-01-01,United States,1991-01-01
468,Gregory,La,Cava,,United States,1952-01-01
453,Gustav,,Machatý,1901-01-01,Austria,1963-01-01
459,Niven,,Busch,1903-01-01,United States,1991-01-01
464,Dimitri,,Tiomkin,1894-01-01,Russia,1979-01-01
467,Leopold,,Stokowski,1882-01-01,United Kingdom,1977-01-01
470,Anthony,,Veiller,1903-01-01,United States,1965-01-01
469,Morrie,,Ryskind,1895-01-01,United States,1985-01-01
454,Tess,,Slesinger,1905-01-01,United States,1945-01-01
441,Heinz,,Herald,,,
475,James,E.,Newcom,1905-01-01,United States,1990-01-01
480,Richard,,Sherman,,,
476,W.,Howard,Greene,,,
477,William,,Keighley,1889-01-01,United States,1984-01-01
442,Geza,,Herczeg,,,
451,Franz,,Waxman,1906-01-01,Germany,1967-01-01
482,Sidney,,Wagner,,,
473,Alan,,Campbell,,,
474,Robert,,Carson,,,
483,Victor,,Saville,1895-01-01,United Kingdom,1979-01-01
484,Ian,,Dalrymple,1903-01-01,South Africa,1989-01-01
471,William,A.,Wellman,1896-01-01,United States,1975-01-01
472,Dorothy,,Parker,1893-01-01,United States,1967-01-01
496,Christian,,Matras,,,
487,Charles,,Frend,,,
495,Marguerite,,Renoir,,France,1987-01-01
491,Thyra,Samter,Winslow,,United States,1961-01-01
494,Charles,,Spaak,1903-01-01,Belgium,1975-01-01
485,Frank,,Wead,1895-01-01,United States,1947-01-01
497,Joseph,,Kosma,1905-01-01,,1969-01-01
486,Elizabeth,,Hill,,,
462,20th,,Century-Fox,,,
492,Jean,,Renoir,1894-01-01,France,1979-01-01
463,Elmer,,Dyer,,United States,1970-01-01
504,Cecil,,Lewis,,,
493,Albert,Pinkovitch Frank,Rollmer,,,
499,Clements,,Ripley,1892-01-01,United States,1954-01-01
500,Anthony,,Asquith,,United Kingdom,1968-01-01
502,Gabriel,,Pascal,1894-01-01,Austria,1954-01-01
515,Frank,,Capra,1897-01-01,France,1991-01-01
478,Seton,I.,Miller,1902-01-01,United States,1974-01-01
481,Dore,,Schary,1905-01-01,US,1980-01-01
479,Warner,Bros.-First,National,,,
498,Réalisation,d'art,Cinématographique,,,
507,Hal,C.,Kern,1894-01-01,United States,1985-01-01
509,David,,Lewis,,,
489,Louis,,Levy,,,
488,Harry,,Stradling,1901-01-01,United States,1970-01-01
512,Eric,,Maschwitz,,,
511,R.,C.,Sherriff,1896-01-01,United Kingdom,1975-01-01
514,Richard,,Addinsell,,United Kingdom,1977-01-01
508,Edmund,,Goulding,1891-01-01,United Kingdom,1959-01-01
513,Freddie,,Young,1902-01-01,United Kingdom,1998-01-01
516,Sidney,,Buchman,1902-01-01,United States,1975-01-01
501,Leslie,,Howard,1893-01-01,United Kingdom,1943-01-01
517,Myles,,Connolly,1897-01-01,United States,1964-01-01
520,Walter,,Reisch,1903-01-01,Austria,1983-01-01
506,Arthur,,Honegger,,,
522,Werner,R.,Heymann,1896-01-01,Germany,1961-01-01
510,Sam,,Wood,1883-01-01,United States,1949-01-01
521,Gene,,Ruggiero,1910-01-01,United States,2002-01-01
505,David,,Lean,1908-01-01,United Kingdom,1991-01-01
490,Charles,,Williams,,,
529,Bert,,Glennon,,,
523,Eugene,,Solow,,,
524,Bert,,Jordan,,,
534,Gerard,,Carbonara,,,
533,Leo,,Shuken,,,
528,Dorothy,,Spencer,1909-01-01,United States,2002-01-01
532,Louis,,Gruenberg,1884-01-01,Russia,1964-01-01
527,Walter,,Wanger,1894-01-01,United States,1968-01-01
530,Richard,,Hageman,1881-01-01,Netherlands,1966-01-01
518,Charles,,Brackett,1892-01-01,United States,1969-01-01
526,Hal,,Roach,1892-01-01,United States,1992-01-01
531,Franke,,Harling,,,
537,Noel,,Langley,1911-01-01,South Africa,1980-01-01
538,Florence,,Ryerson,,United States,1965-01-01
539,Edgar,Allan,Woolf,,United States,1943-01-01
535,Stephen,,Pasternacki,,,
536,Walter,,Wanger,1894-01-01,United States,1968-01-01
546,James,,Hilton,,,
540,Charles,,MacArthur,1895-01-01,United States,1956-01-01
541,Anatole,,Litvak,1902-01-01,Russia,1974-01-01
543,An,Anatole Litvak,Production,1902-01-01,Russia,1974-01-01
519,Billy,,Wilder,1906-01-01,Austria,2002-01-01
525,Aaron,,Copland,1900-01-01,United States,1990-01-01
503,George,Bernard,Shaw,1856-01-01,Ireland,1950-01-01
551,Roland,,Totheroh,1890-01-01,United States,1967-01-01
558,Argosy,,Argosy,,,
554,Henry,,Berman,1914-01-01,United States,1979-01-01
548,Robert,L.,Simpson,,,
557,Sherman,,Todd,1904-01-01,United States,1979-01-01
555,Howard,E.,Koch,,US,1995-01-01
559,Wanger,,Wanger,,,
552,Meredith,,Willson,1902-01-01,United States,1984-01-01
561,Harry,,Chandlee,,United States,1956-01-01
565,Philip,,Dunne,,,
544,Ernie,,Haller,1896-01-01,United States,1970-01-01
566,James,B.,Clark,,,
556,Argosy,,Corporation,,,
553,Dalton,,Trumbo,1905-01-01,United States,1976-01-01
567,George,,Boemler,1902-01-01,1902,1968-01-01
564,Joseph,,Ruttenberg,1889-01-01,Russia,1983-01-01
560,Sol,,Lesser,1890-01-01,United States,1980-01-01
547,Robert,,Benchley,1889-01-01,United States,1945-01-01
562,Frank,,Craven,1875-01-01,1875,1945-01-01
563,Sol,,Lesser,1890-01-01,United States,1980-01-01
572,Mercury,,Mercury,,,
581,Thomas,,Richards,,,
575,Friedrich,,Hollaender,,,
573,Everett,,Riskin,,,
574,Viola,,Lawrence,,United States,
579,Leo,,Tover,1902-01-01,United States,1964-01-01
576,Mitchell,,Leisen,1898-01-01,United States,1972-01-01
582,Irving,,Rapper,1898-01-01,United Kingdom,1999-01-01
584,Joan,,Harrison,,,
578,Doane,,Harrison,1894-01-01,United States,1968-01-01
577,Richard,,Maibaum,,United States,1991-01-01
580,Victor,,Young,1899-01-01,United States,1956-01-01
550,Willard,,Nico,,,
545,Alfred,,Hitchcock,1899-01-01,United Kingdom,1980-01-01
583,Alfred,Hitchcock Harry E.,Edington,,,
569,Herman,J.,Mankiewicz,1897-01-01,United States,1953-01-01
586,Harry,Stradling,Sr.,1901-01-01,United States,1970-01-01
591,John,,Sutro,1903-01-01,United Kingdom,1985-01-01
587,George,,Froeschel,1891-01-01,Austria,1979-01-01
589,Daniele,,Amfitheatrof,1901-01-01,Russia,1983-01-01
585,Alma,,Reville,1899-01-01,United Kingdom,1982-01-01
588,Harold,F.,Kress,1913-01-01,United States,1999-01-01
593,Rodney,,Ackland,,,
570,Robert,,Wise,1914-01-01,United States,2005-01-01
596,Muir,,Mathieson,1911-01-01,United Kingdom,1975-01-01
594,Frederick,Young,F.R.P.S.,,,
592,Emeric,,Pressburger,1902-01-01,Austria,1988-01-01
571,Bernard,,Herrmann,1911-01-01,United States,1975-01-01
590,Michael,,Powell,1905-01-01,United Kingdom,1990-01-01
599,Stanley,,Cortez,1908-01-01,United States,1997-01-01
605,Fred,,Guiol,1898-01-01,United States,1964-01-01
598,Ortus,,Ortus,,,
603,Jo,,Swerling,,,
542,A,Warner Bros. – First National,Picture,,,
607,Otto,,Meyer,,,
600,Irving,,Pichel,1891-01-01,United States,1954-01-01
606,Irwin,,Shaw,1913-01-01,United States,1984-01-01
611,Frank,,Butler,,,
601,Allen,,McNeil,,,
608,Ted,,Tetzlaff,1903-01-01,United States,1995-01-01
604,Leigh,,Harline,1907-01-01,United States,1969-01-01
610,W.,R.,Burnett,1899-01-01,United States,1982-01-01
612,Frank,,Bracht,1910-01-01,United States,1985-01-01
549,Charlie,,Chaplin,1889-01-01,United Kingdom,1977-01-01
613,LeRoy,,Stone,1894-01-01,United States,1949-01-01
622,Howard,,Koch,,,
597,London,Symphony,Orchestra,,,
614,William,C.,Mellor,,United States,1963-01-01
616,David,,Buttolph,1902-01-01,United States,1983-01-01
609,Joseph,,Sistrom,,,
615,Theodor,,Sparkuhl,,,
617,Robert,,Buckner,1906-01-01,United States,1989-01-01
595,Ralph,Vaughan,Williams,,,
619,Ray,,Heindorf,1908-01-01,United States,1980-01-01
621,Philip,G.,Epstein,,,
624,Ray,,Rennahan,1896-01-01,United States,1980-01-01
602,William,Cameron,Menzies,1896-01-01,United States,1957-01-01
623,John,F. Link,Sr.,1901-01-01,United States,1968-01-01
620,Julius,J.,Epstein,1909-01-01,United States,2000-01-01
627,Thelma,,Connell,,United Kingdom,
634,Frank,,Ross,,,
618,George,M.,Cohan,1878-01-01,United States,1942-01-01
633,Robert,,Russell,,,
629,Clifton,,Parker,,,
647,Joseph,,Sistrom,,,
632,Hans,,Rameau,,Germany,
625,Clarence,,Brown,1890-01-01,United States,1987-01-01
631,Paul,,Osborn,,India,1988-01-01
635,Lewis,R.,Foster,1898-01-01,United States,1974-01-01
568,Orson,,Welles,1915-01-01,United States,1985-01-01
638,William,,Perlberg,,,
628,Ronald,,Neame,1911-01-01,United Kingdom,2010-01-01
637,Cyril,J.,Mockridge,1896-01-01,United Kingdom,1979-01-01
636,Lamar,,Trotti,1900-01-01,US,1952-01-01
640,Herman,,Shumlin,1898-01-01,United States,1979-01-01
649,John,,Seitz,,,
642,Rudi,,Fehr,1911-01-01,Germany,1999-01-01
644,Frank,,Cavett,1905-01-01,United States,1973-01-01
639,George,,Seaton,1911-01-01,United States,1979-01-01
645,Lionel,,Lindon,1905-01-01,United States,1971-01-01
646,Robert,Emmett,Dolan,,United States,1972-01-01
643,Hugo,,Friedhofer,1901-01-01,United States,1981-01-01
651,John,Van,Druten,1901-01-01,United Kingdom,1957-01-01
630,Aldous,,Huxley,1894-01-01,United Kingdom,1963-01-01
658,Charles,P.,Boyle,1892-01-01,United States,1968-01-01
659,Robert,,Planck,1902-01-01,United States,1971-01-01
